# 单元1（保持原顺序，仅修正错误词条）
1,fox,[fɔks],n. 狐狸,Unit1,
2,giraffe,[dʒiro:f],n. 长颈鹿,Unit1,
3,eagle,[i:gl],n. 雕；鹰,Unit1,
4,wolf,[wolf],n. 狼,Unit1,
5,penguin,[pengw n],n. 企鹅,Unit1,
6,care,[keə],n.照顾；护理 v. 关心；在乎,Unit1,
7,take care of,,照顾；处理,Unit1,
8,sandwich,[ˈsænw dʒ],n. 三明治,Unit1,
9,snake,[sne k],n. 蛇,Unit1,
10,scary,[ˈskeər],adj. 吓人的；恐怖的,Unit1,
11,neck,[nek],n. 脖子,Unit1,
12,guess,[ges],v. 猜测；估计,Unit1,
13,shark,[ʃi:k],n. 鲨鱼,Unit1,
14,whale,[we l],n. 鲸,Unit1,
15,huge,[hju:dʒ],adj. 大的；极多的,Unit1,
16,Dangerous,[de ndʒərəs],adj. 危险的；有危害的,Unit1,
17,save,[se w],v. 救；储蓄；保存,Unit1,
18,luck,[lʌk],n. 幸运；运气,Unit1,
19,Thai,,adj. 泰国的；泰国人的 n.泰国,Unit1,
20,trunk,[trʌŋk],n. 象鼻,Unit1,
21,pick,[pʌk],v. 捡：摘,Unit1,
22,pick up,[ˈkærɪ],v. 拿走：举起,Unit1,
23,carry,[ˈkærɪ],v. 拿：提,Unit1,
24,playful,[ˈplefol],adj. 爱嬉戏的；爱玩的,Unit1,
25,swimmer,[ˈswmo],n. 游泳者,Unit1,
26,forest,[ˈfɒrɪst],n. 森林,Unit1,
27,look after,[lʊk ˈɑːftə],v. 照顾,Unit1,
28,culture,[ˈkʌltʃə],n. 文化,Unit1,

# 单元2（补充完整单元）
1,rule,[ruːl],n. 规则；规章,Unit2,
2,order,[ˈɔːdə],n. 秩序，v. 点菜,Unit2,
39,either,[ˈaɪðə],adv. 也,Unit2,

# 单元3（补充缺失单元）
1,at the start,,开始：起初,Unit3,
2,still,[stɪl],adv.还；仍然,Unit3,

# 单元4（修正后的完整单元）
1,go with,,[peə],n. 梨,Unit4,
2,improve,[ɪmˈpruːv],v. 改进；改善,Unit4,
179,salt,[sɔːlt],n. 盐,Unit4,

# 单元5（修复格式错误）
55,Dragon Boat,,端午节,Unit5,
56,rain or shine,,不论是雨或是晴；不管发生什么事,Unit6,  # ← 错误！应属于Unit5

# 修正后单元5结尾
55,Dragon Boat,,端午节,Unit5,

# 单元6（正确起始）
1,rain or shine,,不论是雨或是晴；不管发生什么事,Unit6,
2,affect,[əˈfɛkt],n. 影响,Unit6,
3,dry,[draɪ],adj. 干的；干旱的,Unit6,
4,lightning,[ˈlatinŋ],n. 闪电,Unit6,
5,stormy,[ˈstɔːmɪ],adj. 有暴风雨；（或暴风雪）的,Unit6,
6,north,[nɔːθ],n. 北部；北；北方,Unit6,
7,west,[west],n. 西部；西；西方,Unit6,
8,south,[saoθ],n. 南部；南；南方,Unit6,
9,east,[iːst],n. 东部；东；东方,Unit6,
10,center,[sentə],n. 中间；中心点,Unit6,
11,stay in,,呆在家里；没有外出,Unit6,
12,lucky,[ˈlʌkɪ],adj. 运气好的；带来好运,Unit6,
13,lucky you,,你真幸运,Unit6,
14,some day,,将来；有朝一日,Unit6,
15,temperature,[ˈtemprətʃi],n. 温度,Unit6,
16,snowman,[ˈsnəʊman],n. 雪人,Unit6,
17,heavily,[ˈhevli],adv. 大量地；沉重地,Unit6,
