序号,单词,音标,释义,单元,
1,fox,[fɔks],n. 狐狸,Unit1,
2,giraffe,[dʒiro:f],n. 长颈鹿,Unit1,
3,eagle,[i:gl],n. 雕；鹰,Unit1,
4,wolf,[wolf],n. 狼,Unit1,
5,penguin,[pengw n],n. 企鹅,Unit1,
6,care,[keə],n.照顾；护理 v. 关心；在乎,Unit1,
7,take care of,,照顾；处理,Unit1,
8,sandwich,[ˈsænw dʒ],n. 三明治,Unit1,
9,snake,[sne k],n. 蛇,Unit1,
10,scary,[ˈskeər],adj. 吓人的；恐怖的,Unit1,
11,neck,[nek],n. 脖子,Unit1,
12,guess,[ges],v. 猜测；估计,Unit1,
13,shark,[ʃi:k],n. 鲨鱼,Unit1,
14,whale,[we l],n. 鲸,Unit1,
15,huge,[hju:dʒ],adj. 大的；极多的,Unit1,
16,Dangerous,[de ndʒərəs],adj. 危险的；有危害的,Unit1,
17,save,[se w],v. 救；储蓄；保存,Unit1,
18,luck,[lʌk],n. 幸运；运气,Unit1,
19,Thai,,adj. 泰国的；泰国人的 n.泰国,Unit1,
20,trunk,[trʌŋk],n. 象鼻,Unit1,
21,pick,[pʌk],v. 捡：摘,Unit1,
22,pick up,[ˈkærɪ],v. 拿走：举起,Unit1,
23,carry,[ˈkærɪ],v. 拿：提,Unit1,
24,playful,[ˈplefol],adj. 爱嬉戏的；爱玩的,Unit1,
25,swimmer,[ˈswmo],n. 游泳者,Unit1,
26,one another,[ˈfɔrst],n. 森林,Unit1,
27,look after,[ˈkʌltʃə],n. 文化；文明,Unit1,
28,culture,[haʊˈevə],adv. 然而；不过,Unit1,
29,however,[ˈdendʒə],n. 危险,Unit1,
30,danger,[ˈfrendl],adj. 友好的,Unit1,
31,in danger,[ˈfrendl],adj. 相当；完全,Unit1,
32,forest,[ˈkwænt],n. 无知,Unit1,
33,cut down,[ˈkɜːd],adj. 暗的；失明的,Unit1,
34,too many,[kəl],adj. 暗的；失明的,Unit1,
35,kill,[bland],adj. 暗的；失明的,Unit1,
36,made of,[ˈhərŋ],n. 听力；听觉,Unit1,
37,ivory,[ˈæn'tɑ:ktkə],n. 南极圈,Unit1,
38,friendly,[ˈæfrkə],n. 非洲,Unit1,
39,quiet,[ˈtaiænd],n. 泰国,Unit1,
1,rule,[ruːl],n. 规则；规章,Unit2,
2,order,[ˈɔːdə],n. 秩序，v. 点菜,Unit2,
3,follow,[ˈfɔləʊ],v. 遵循；跟随,Unit2,
4,be late ( for ),[əˈraɪv],v. 到达,Unit2,
5,arrive,[əˈraɪv],v. 到达,Unit2,
6,on time,[ˈhɔːlwei],n. 走廊,Unit2,
7,hallway,[juːmˌfɔːm],n. 校服；制服,Unit2,
8,uniform,[ˈliːe],n. 乱认，n. 垃圾,Unit2,
9,litter,[pəˈlaɪt],adj. 有礼貌的,Unit2,
10,polite,[triːt],v. 对待；招待；治疗；n. 款待,Unit2,
11,treat,[riːt],v. 对待；招待；治疗；n. 款待,Unit2,
12,respect,[rispekt],n.尊敬,Unit2,
13,if,[f],conj.如果,Unit2,
14,jacket,[dʒækt],n.夹克衫；短上衣,Unit2,
15,have to,,不得不,Unit2,
16,everything,[evrɪθŋ],pron 每件事；一切,Unit2,
17,lend,[lend],v.借给；借出,Unit2,
18,sweet,[swiːt],n.糖果 adj.甜的,Unit2,
19,snack,[snæk],n.点心；小吃,Unit2,
20,of course,,当然,Unit2,
